Tinh,SBD,Diem
Sở GDĐT Phú Thọ,15000001,Toán:7.4 Ngữ văn:4 Vật lí:8.25 Hóa học:6.5 Sinh học:4.25 Tiếng Anh:2.6 KHTN:6.33 Trung bình:5.62 
Sở GDĐT Phú Thọ,15000002,Toán:8.6 Ngữ văn:7 Vật lí:8.5 Hóa học:7.75 Sinh học:4.5 Tiếng Anh:6 KHTN:6.92 Trung bình:7.04 
Sở GDĐT Phú Thọ,15000003,Toán:7.6 Ngữ văn:8 Lịch sử:4 Địa lí:5.5 GDCD:7.5 Tiếng Anh:8 KHXH:5.67 Trung bình:6.61 
Sở GDĐT Phú Thọ,15000004,Toán:6.2 Ngữ văn:7.5 Lịch sử:4.25 Địa lí:5 GDCD:8.25 Tiếng Anh:8.4 KHXH:5.83 Trung bình:6.49 
Sở GDĐT Phú Thọ,15000005,Toán:3.8 Ngữ văn:8.25 Lịch sử:8 Địa lí:8.75 GDCD:8.75 Tiếng Anh:5.8 KHXH:8.5 Trung bình:7.41 
Sở GDĐT Phú Thọ,15000006,Toán:4 Ngữ văn:4.75 Vật lí:3.25 Hóa học:5.75 Sinh học:5.25 Tiếng Anh:4.2 KHTN:4.75 Trung bình:4.56 
Sở GDĐT Phú Thọ,15000007,Toán:5.2 Ngữ văn:8.25 Lịch sử:8.5 Địa lí:9 GDCD:9 Tiếng Anh:4.8 KHXH:8.83 Trung bình:7.65 
Sở GDĐT Phú Thọ,15000008,Toán:4.4 Ngữ văn:8 Lịch sử:5.25 Địa lí:7 GDCD:8 Tiếng Anh:3.6 KHXH:6.75 Trung bình:6.14 
Sở GDĐT Phú Thọ,15000009,Toán:6.8 Ngữ văn:7.25 Vật lí:8 Hóa học:6.5 Sinh học:4.25 Tiếng Anh:4.8 KHTN:6.25 Trung bình:6.26 
Sở GDĐT Phú Thọ,15000010,Toán:7.4 Ngữ văn:3.5 Vật lí:8 Hóa học:7.5 Sinh học:4 Tiếng Anh:4.2 KHTN:6.5 Trung bình:5.87 
Sở GDĐT Phú Thọ,15000011,Toán:9 Ngữ văn:8.5 Vật lí:8.5 Hóa học:8.25 Sinh học:4.25 Trung bình:7.70 
Sở GDĐT Phú Thọ,15000012,Toán:8.6 Ngữ văn:6.5 Vật lí:6.75 Hóa học:7.25 Sinh học:5 Tiếng Anh:7.8 KHTN:6.33 Trung bình:6.89 
Sở GDĐT Phú Thọ,15000013,Toán:7.6 Ngữ văn:8 Lịch sử:4 Địa lí:6.25 GDCD:6.5 Tiếng Anh:9 KHXH:5.58 Trung bình:6.70 
Sở GDĐT Phú Thọ,15000014,Toán:6.6 Ngữ văn:7.75 Vật lí:7 Hóa học:7 Sinh học:4.75 Tiếng Anh:5 KHTN:6.25 Trung bình:6.34 
Sở GDĐT Phú Thọ,15000015,Toán:7 Ngữ văn:6.5 Vật lí:7.5 Hóa học:7 Sinh học:6.25 Tiếng Anh:4.2 KHTN:6.92 Trung bình:6.48 
Sở GDĐT Phú Thọ,15000016,Toán:6 Ngữ văn:8 Lịch sử:4.5 Địa lí:6.25 GDCD:8.25 Tiếng Pháp:7 KHXH:6.33 Trung bình:6.62 
Sở GDĐT Phú Thọ,15000017,Toán:5.8 Ngữ văn:7.75 Lịch sử:4.75 Địa lí:7.25 GDCD:7 Tiếng Pháp:8 KHXH:6.33 Trung bình:6.70 
Sở GDĐT Phú Thọ,15000018,Toán:6.4 Ngữ văn:6.75 Vật lí:4.25 Hóa học:7 Sinh học:8.5 Tiếng Anh:4.6 KHTN:6.58 Trung bình:6.30 
Sở GDĐT Phú Thọ,15000019,Toán:5.6 Ngữ văn:7 Lịch sử:2.75 Địa lí:5.5 GDCD:8.5 Tiếng Pháp:10 KHXH:5.58 Trung bình:6.42 
Sở GDĐT Phú Thọ,15000020,Toán:6 Ngữ văn:6.5 Lịch sử:5 Địa lí:7.75 GDCD:8 Tiếng Anh:9.6 KHXH:6.92 Trung bình:7.11 
Sở GDĐT Phú Thọ,15000021,Toán:5.6 Ngữ văn:7.25 Lịch sử:8.25 Địa lí:8.25 GDCD:8 Tiếng Anh:3.4 KHXH:8.17 Trung bình:6.99 
Sở GDĐT Phú Thọ,15000022,Toán:7.6 Ngữ văn:5 Vật lí:3.25 Hóa học:7.5 Sinh học:7.5 Tiếng Anh:4.4 KHTN:6.08 Trung bình:5.90 
Sở GDĐT Phú Thọ,15000023,Toán:7 Ngữ văn:5.25 Vật lí:7.75 Hóa học:3.75 Sinh học:4.75 Tiếng Anh:9.8 KHTN:5.42 Trung bình:6.25 
Sở GDĐT Phú Thọ,15000024,Toán:8.2 Ngữ văn:3.5 Vật lí:7.25 Hóa học:7.25 Sinh học:5 Tiếng Anh:5.4 KHTN:6.5 Trung bình:6.16 
Sở GDĐT Phú Thọ,15000025,Toán:6.8 Ngữ văn:7.75 Vật lí:3.75 Hóa học:7.5 Sinh học:7.75 Tiếng Anh:4 KHTN:6.33 Trung bình:6.27 
Sở GDĐT Phú Thọ,15000026,Toán:7.6 Ngữ văn:7.25 Vật lí:4 Hóa học:8.5 Sinh học:8.25 Tiếng Anh:5 KHTN:6.92 Trung bình:6.79 
Sở GDĐT Phú Thọ,15000027,Toán:3.8 Ngữ văn:7.75 Lịch sử:7.5 Địa lí:8.75 GDCD:7 Tiếng Anh:6.2 KHXH:7.75 Trung bình:6.96 
